period,topic_id,keywords,count_lowi,count_uvnl,n_lowi,n_uvnl,freq_lowi,freq_uvnl,G,p,log2_odds_ratio,preferred,p_bonferroni,significant
overall,0,"the, to, and, that, complainant",0,73,232,190,0.0,0.38421052631578945,125.64154946336228,3.683555449059809e-29,-8.184242304266759,uvnl,1.0313955257367466e-27,True
overall,1,"verzoeker, 2018, belanghebbende, verzoekers, betrokkene",21,0,232,190,0.09051724137931035,0.0,19.399924230114056,1.060112657529848e-05,5.27539808907547,lowi,0.00029683154410835744,True
overall,2,"2014, plagiaat, 2012, 2013, klacht klager",17,2,232,190,0.07327586206896551,0.010526315789473684,8.592466400042392,0.00337556514558939,2.61423157623717,lowi,0.09451582407650291,False
overall,3,"betrokkene, verzoeker, verweerder, maastricht, 2020",15,4,232,190,0.06465517241379311,0.021052631578947368,3.602583981263207,0.057689836572865305,1.56243153846371,lowi,1.0,False
overall,4,"verzoeker, belanghebbende, 2015, belanghebbenden, 2016",17,0,232,190,0.07327586206896551,0.0,14.728125518857626,0.0001241799402541736,4.951386145349191,lowi,0.0034770383271168605,True
overall,5,"betrokkene, verzoeker, proefschrift, verzoekers, betoogt",17,0,232,190,0.07327586206896551,0.0,14.728125518857626,0.0001241799402541736,4.951386145349191,lowi,0.0034770383271168605,True
overall,6,"betrokkene, verzoeker, verzoekers, utrecht, metc",16,0,232,190,0.06896551724137931,0.0,13.585852482304642,0.00022789659854346214,4.8598180921250504,lowi,0.00638110475921694,True
overall,7,"dr, 2011, prof dr, 2008, verweerder",16,0,232,190,0.06896551724137931,0.0,13.585852482304642,0.00022789659854346214,4.8598180921250504,lowi,0.00638110475921694,True
overall,8,"verzoeker, 2018, belanghebbende, betrokkene, promovendus",15,0,232,190,0.06465517241379311,0.0,12.455248565896042,0.00041681890254683323,4.762971907144107,lowi,0.011670929271311331,True
overall,9,"beklaagden, tu, klachtonderdeel, cvb, tabel",0,15,232,190,0.0,0.07894736842105263,18.24276047546571,1.9446365109734628e-05,-5.359955996077709,uvnl,0.0005444982230725696,True
overall,10,"verzoeker, persbericht, betrokkene, polemiek, verzoekers",13,0,232,190,0.05603448275862069,0.0,10.233076089417775,0.0013794441939360294,4.5504575601214325,lowi,0.038624437430208824,True
overall,11,"the, boek, plagiaat, 2014, passages",0,11,232,190,0.0,0.05789473684210526,12.164904477557089,0.00048697158990916746,-4.896808828229355,uvnl,0.013635204517456688,True
overall,12,"the, beklaagden, toetsingscommissie, that, organisatie",0,11,232,190,0.0,0.05789473684210526,12.164904477557089,0.00048697158990916746,-4.896808828229355,uvnl,0.013635204517456688,True
overall,13,"beklaagden, 2018, databases, bijlage, radboud",0,10,232,190,0.0,0.05263157894736842,10.693961005171484,0.0010748582200953074,-4.757549301886983,uvnl,0.030096030162668607,True
overall,14,"betrokkene, verzoeker, verzoekers, redactie, universiteit leiden",8,2,232,190,0.034482758620689655,0.010526315789473684,1.5102907888299328,0.21909471994089527,1.5133838248904945,lowi,1.0,False
overall,15,"onderzoeker, leerstoelhouder, opdrachtgever, verzoeker, betrokkene",8,2,232,190,0.034482758620689655,0.010526315789473684,1.5102907888299328,0.21909471994089527,1.5133838248904945,lowi,1.0,False
overall,16,"the, beklaagden, and, to, the committee",0,9,232,190,0.0,0.04736842105263158,9.247489915203149,0.0023581843641554048,-4.605188681443228,uvnl,0.06602916219635133,False
overall,17,"klaagster, 2013, klagers, auteurs, 2012",9,0,232,190,0.03879310344827586,0.0,5.989494018124448,0.014391329842353341,4.01744367975359,lowi,0.4029572355858936,False
overall,18,"universiteit leiden, begrip, regeling, college, open brief",0,9,232,190,0.0,0.04736842105263158,9.247489915203149,0.0023581843641554048,-4.605188681443228,uvnl,0.06602916219635133,False
overall,19,"belanghebbende, verzoeker, belanghebbenden, klachtonderdeel, paper",9,0,232,190,0.03879310344827586,0.0,5.989494018124448,0.014391329842353341,4.01744367975359,lowi,0.4029572355858936,False
overall,20,"verzoeker, 2016, 2017, taal, december 2016",8,0,232,190,0.034482758620689655,0.0,4.985780057590802,0.025556460553884268,3.8505383940025144,lowi,0.7155808955087595,False
overall,21,"verzoeker, erasmus, mc, erasmus mc, betrokkene",6,1,232,190,0.02586206896551724,0.005263157894736842,1.401781939100756,0.23642544371091284,1.8581640155447925,lowi,1.0,False
overall,22,"verzoeker, deskundige, 2014, proefschrift, werk klager",7,0,232,190,0.03017241379310345,0.0,4.01410913585505,0.04512105499143611,3.6635541598464596,lowi,1.0,False
overall,23,"2013, college, college bestuur, manuscript, dr",0,6,232,190,0.0,0.031578947368421054,5.103859457180999,0.02387266949742885,-4.034049618076089,uvnl,0.6684347459280078,False
overall,24,"college, betrokkene, college bestuur, tilburg, tilburg university",4,2,232,190,0.017241379310344827,0.010526315789473684,0.013834367166755623,0.9063690847610301,0.5703672647655446,lowi,1.0,False
overall,25,"verzoeker, rivm, buitenlandse, betrokkene, factsheet",6,0,232,190,0.02586206896551724,0.0,3.0825190825744664,0.0791378665147348,3.450719665588179,lowi,1.0,False
overall,26,"the, to, and, his, on",0,5,232,190,0.0,0.02631578947368421,3.8162921386578734,0.05075644195520918,-3.785243148011888,uvnl,1.0,False
overall,27,"knaw, verzoeker, betrokkene, druk, bestuur knaw",5,0,232,190,0.021551724137931036,0.0,2.2031432883889446,0.1377296363118807,3.2033560710445608,lowi,1.0,False
2010-2014,0,"the, to, and, that, complainant",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,1,"verzoeker, 2018, belanghebbende, verzoekers, betrokkene",0,0,33,28,0.0,0.0,0.0,1.0,-0.23319917629303075,uvnl,1.0,False
2010-2014,2,"2014, plagiaat, 2012, 2013, klacht klager",15,0,33,28,0.45454545454545453,0.0,16.036227851002607,6.214197733814401e-05,5.577632958922667,lowi,0.0017399753654680323,True
2010-2014,3,"betrokkene, verzoeker, verweerder, maastricht, 2020",0,1,33,28,0.0,0.03571428571428571,0.01305318743402023,0.9090391836816513,-1.8696919776542689,uvnl,1.0,False
