id,source,doc_type,title,date,year,url,filename,period,topic,topic_prob
lowi-2007-01,lowi,advies,Advies 2007-01,2021-06-23,2007,https://lowi.nl/advies-2007-01/,,2005-2009,7,1.0
lowi-2007-02,lowi,advies,Advies 2007-02,2021-06-23,2007,https://lowi.nl/advies-2007-02/,,2005-2009,7,1.0
lowi-2008-01,lowi,advies,Advies 2008-01,2021-06-23,2008,https://lowi.nl/advies-2008-01/,,2005-2009,7,0.22910836278129454
lowi-2008-02,lowi,advies,Advies 2008-02,2021-06-23,2008,https://lowi.nl/advies-2008-02/,,2005-2009,7,0.31726540073215337
lowi-2008-03,lowi,advies,Advies 2008-03,2021-06-23,2008,https://lowi.nl/advies-2008-03/,,2005-2009,7,1.0
lowi-2009-01,lowi,advies,Advies 2009-01,2021-06-23,2009,https://lowi.nl/advies-2009-01/,,2005-2009,7,0.8292832985516447
lowi-2009-02,lowi,advies,Advies 2009-02,2021-06-23,2009,https://lowi.nl/advies-2009-02/,,2005-2009,7,0.5770798326885155
lowi-2010-01,lowi,advies,Advies 2010-01,2021-06-23,2010,https://lowi.nl/advies-2010-01/,,2010-2014,7,0.9369428936705041
lowi-2010-02,lowi,advies,Advies 2010-02,2021-06-23,2010,https://lowi.nl/advies-2010-02/,,2010-2014,7,1.0
lowi-2010-03,lowi,advies,Advies 2010-03,2021-06-23,2010,https://lowi.nl/advies-2010-03/,,2010-2014,7,0.5769821028216385
lowi-2010-04,lowi,advies,Advies 2010-04,2021-06-23,2010,https://lowi.nl/advies-2010-04/,,2010-2014,7,0.8999923133764631
lowi-2011-01,lowi,advies,Advies 2011-01,2021-06-22,2011,https://lowi.nl/advies-2011-01/,,2010-2014,7,1.0
lowi-2011-02,lowi,advies,Advies 2011-02,2021-06-23,2011,https://lowi.nl/advies-2011-02/,,2010-2014,7,0.6984744225595817
lowi-2011-03,lowi,advies,Advies 2011-03,2021-06-23,2011,https://lowi.nl/advies-2011-03/,,2010-2014,7,0.784092779175306
lowi-2011-04,lowi,advies,Advies 2011-04,2021-06-23,2011,https://lowi.nl/advies-2011-04/,,2010-2014,7,0.5623069448845318
lowi-2012-02,lowi,advies,Advies 2012-02,2021-06-22,2012,https://lowi.nl/advies-2012-02/,,2010-2014,7,0.380133862597505
lowi-2012-03,lowi,advies,Advies 2012-03,2021-06-22,2012,https://lowi.nl/advies-2012-03/,,2010-2014,2,0.6032629721747255
lowi-2013-01,lowi,advies,Advies 2013-01,2021-06-14,2013,https://lowi.nl/advies-2013-01/,,2010-2014,17,1.0
lowi-2013-02,lowi,advies,Advies 2013-02,2021-06-14,2013,https://lowi.nl/advies-2013-02/,,2010-2014,17,1.0
lowi-2013-03,lowi,advies,Advies 2013-03,2021-06-14,2013,https://lowi.nl/advies-2013-03/,,2010-2014,17,1.0
lowi-2013-04,lowi,advies,Advies 2013-04,2021-06-15,2013,https://lowi.nl/advies-2013-04/,,2010-2014,2,0.6032629721747255
lowi-2013-05,lowi,advies,Advies 2013-05,2021-06-15,2013,https://lowi.nl/advies-2013-05/,,2010-2014,17,0.8986295557601999
lowi-2013-06,lowi,advies,Advies 2013-06,2021-06-15,2013,https://lowi.nl/advies-2013-06/,,2010-2014,2,0.6032629721747255
lowi-2013-07,lowi,advies,Advies 2013-07,2021-06-15,2013,https://lowi.nl/advies-2013-07/,,2010-2014,17,1.0
lowi-2013-08-2,lowi,advies,Advies 2013-08,2021-06-16,2013,https://lowi.nl/advies-2013-08-2/,,2010-2014,17,1.0
lowi-2013-09,lowi,advies,Advies 2013-09,2021-06-16,2013,https://lowi.nl/advies-2013-09/,,2010-2014,2,0.6032629721747255
lowi-2013-10,lowi,advies,Advies 2013-10,2021-06-16,2013,https://lowi.nl/advies-2013-10/,,2010-2014,17,1.0
lowi-2014-01,lowi,advies,Advies 2014-01,2021-06-03,2014,https://lowi.nl/advies-2014-01/,,2010-2014,17,0.8935640194907186
lowi-2014-02,lowi,advies,Advies 2014-02,2021-06-03,2014,https://lowi.nl/advies-2014-02/,,2010-2014,17,0.7984002280843955
lowi-2014-03,lowi,advies,Advies 2014-03,2021-06-03,2014,https://lowi.nl/advies-2014-03/,,2010-2014,2,1.0
lowi-2014-04,lowi,advies,Advies 2014-04,2021-06-03,2014,https://lowi.nl/advies-2014-04/,,2010-2014,2,0.8785082263491961
lowi-2014-05,lowi,advies,Advies 2014-05,2021-06-03,2014,https://lowi.nl/advies-2014-05/,,2010-2014,2,1.0
lowi-2014-06,lowi,advies,Advies 2014-06,2021-06-03,2014,https://lowi.nl/advies-2014-06/,,2010-2014,2,1.0
lowi-2014-07,lowi,advies,Advies 2014-07,2021-06-03,2014,https://lowi.nl/advies-2014-07/,,2010-2014,2,0.825463635465035
lowi-2014-08,lowi,advies,Advies 2014-08,2021-06-03,2014,https://lowi.nl/advies-2014-08/,,2010-2014,2,0.825463635465035
lowi-2014-09,lowi,advies,Advies 2014-09,2021-06-03,2014,https://lowi.nl/advies-2014-09/,,2010-2014,2,1.0
lowi-2014-10,lowi,advies,Advies 2014-10,2021-06-03,2014,https://lowi.nl/advies-2014-10/,,2010-2014,2,0.825463635465035
lowi-2014-11,lowi,advies,Advies 2014-11,2021-06-08,2014,https://lowi.nl/advies-2014-11/,,2010-2014,2,0.6956354149181369
lowi-2014-12,lowi,advies,Advies 2014-12,2021-06-08,2014,https://lowi.nl/advies-2014-12/,,2010-2014,2,0.7385630854127465
lowi-2015-01,lowi,advies,Advies 2015-01,2021-06-02,2015,https://lowi.nl/advies-2015-01/,,2015-2019,2,1.0
lowi-2015-02,lowi,advies,Advies 2015-02,2021-06-02,2015,https://lowi.nl/advies-2015-02/,,2015-2019,2,0.9488557574850606
lowi-2015-03,lowi,advies,Advies 2015-03,2021-06-02,2015,https://lowi.nl/advies-2015-03/,,2015-2019,22,1.0
lowi-2015-04,lowi,advies,Advies 2015-04,2021-06-02,2015,https://lowi.nl/advies-2015-04/,,2015-2019,22,1.0
lowi-2015-05,lowi,advies,Advies 2015-05,2021-06-02,2015,https://lowi.nl/advies-2015-05/,,2015-2019,22,1.0
lowi-2015-06,lowi,advies,Advies 2015-06,2021-06-02,2015,https://lowi.nl/advies-2015-06/,,2015-2019,22,1.0
lowi-2015-07,lowi,advies,Advies 2015-07,2021-06-02,2015,https://lowi.nl/advies-2015-07/,,2015-2019,22,1.0
lowi-2015-09,lowi,advies,Advies 2015-09,2021-06-02,2015,https://lowi.nl/advies-2015-09/,,2015-2019,22,0.4657988261985444
lowi-2015-10,lowi,advies,Advies 2015-10,2021-06-02,2015,https://lowi.nl/advies-2015-10/,,2015-2019,4,0.84150796715683
lowi-2015-11,lowi,advies,Advies 2015-11,2021-06-02,2015,https://lowi.nl/advies-2015-11/,,2015-2019,-1,0.0
lowi-2015-12,lowi,advies,Advies 2015-12,2021-06-03,2015,https://lowi.nl/advies-2015-12/,,2015-2019,4,1.0
lowi-2016-01,lowi,advies,Advies 2016-01,2021-05-31,2016,https://lowi.nl/advies-2016-01/,,2015-2019,4,0.8426453954970362
lowi-2016-02,lowi,advies,Advies 2016-02,2021-06-01,2016,https://lowi.nl/advies-2016-02/,,2015-2019,4,1.0
lowi-2016-04,lowi,advies,Advies 2016-04,2021-06-01,2016,https://lowi.nl/advies-2016-04/,,2015-2019,4,0.9491402042138828
lowi-2016-05,lowi,advies,Advies 2016-05,2021-06-01,2016,https://lowi.nl/advies-2016-05/,,2015-2019,4,0.8854026298772012
lowi-2016-06,lowi,advies,Advies 2016-06,2021-06-01,2016,https://lowi.nl/advies-2016-06/,,2015-2019,4,0.9491402042138828
lowi-2016-07,lowi,advies,Advies 2016-07,2021-06-01,2016,https://lowi.nl/advies-2016-07/,,2015-2019,4,1.0
lowi-2016-08,lowi,advies,Advies 2016-08,2021-06-01,2016,https://lowi.nl/advies-2016-08/,,2015-2019,4,1.0
lowi-2016-09,lowi,advies,Advies 2016-09,2021-06-01,2016,https://lowi.nl/advies-2016-09/,,2015-2019,4,1.0
lowi-2016-10,lowi,advies,Advies 2016-10,2021-06-01,2016,https://lowi.nl/advies-2016-10/,,2015-2019,4,0.902106626103576
lowi-2016-12,lowi,advies,Advies 2016-12,2021-06-01,2016,https://lowi.nl/advies-2016-12/,,2015-2019,4,0.9163298731485251
lowi-2016-13,lowi,advies,Advies 2016-13,2021-06-01,2016,https://lowi.nl/advies-2016-13/,,2015-2019,4,1.0
lowi-2016-14,lowi,advies,Advies 2016-14,2021-06-02,2016,https://lowi.nl/advies-2016-14/,,2015-2019,4,0.902106626103576
lowi-2016-15,lowi,advies,Advies 2016-15,2021-06-02,2016,https://lowi.nl/advies-2016-15/,,2015-2019,4,0.902106626103576
lowi-2017-01,lowi,advies,Advies 2017-01,2021-05-27,2017,https://lowi.nl/advies-2017-01/,,2015-2019,19,0.554986935859336
lowi-2017-03,lowi,advies,Advies 2017-03,2021-05-31,2017,https://lowi.nl/advies-2017-03/,,2015-2019,19,1.0
lowi-2017-04,lowi,advies,Advies 2017-04,2021-05-31,2017,https://lowi.nl/advies-2017-04/,,2015-2019,4,0.9491402042138828
lowi-2017-06-2,lowi,advies,Advies 2017-06,2021-06-17,2017,https://lowi.nl/advies-2017-06-2/,,2015-2019,19,1.0
lowi-2017-08,lowi,advies,Advies 2017-08,2021-05-31,2017,https://lowi.nl/advies-2017-08/,,2015-2019,19,1.0
lowi-2017-09,lowi,advies,Advies 2017-09,2021-05-31,2017,https://lowi.nl/advies-2017-09/,,2015-2019,19,0.9902663440995447
lowi-2017-10,lowi,advies,Advies 2017-10,2021-05-31,2017,https://lowi.nl/advies-2017-10/,,2015-2019,19,1.0
lowi-2017-12,lowi,advies,Advies 2017-12,2021-05-31,2017,https://lowi.nl/advies-2017-12/,,2015-2019,4,0.902106626103576
lowi-2017-13,lowi,advies,Advies 2017-13,2021-05-31,2017,https://lowi.nl/advies-2017-13/,,2015-2019,19,1.0
lowi-2017-14,lowi,advies,Advies 2017-14,2021-05-31,2017,https://lowi.nl/advies-2017-14/,,2015-2019,19,1.0
lowi-2018-01,lowi,advies,Advies 2018-01,2021-05-26,2018,https://lowi.nl/advies-2018-01/,,2015-2019,8,0.9809412974103529
lowi-2018-02,lowi,advies,Advies 2018-02,2021-05-26,2018,https://lowi.nl/advies-2018-02/,,2015-2019,1,1.0
lowi-2018-03,lowi,advies,Advies 2018-03,2021-05-26,2018,https://lowi.nl/advies-2018-03/,,2015-2019,1,0.9499203941198435
lowi-2018-05,lowi,advies,Advies 2018-05,2021-05-26,2018,https://lowi.nl/advies-2018-05/,,2015-2019,8,0.46786026835405825
lowi-2018-06,lowi,advies,Advies 2018-06,2021-05-26,2018,https://lowi.nl/advies-2018-06/,,2015-2019,1,1.0
lowi-2018-07,lowi,advies,Advies 2018-07,2021-05-27,2018,https://lowi.nl/advies-2018-07/,,2015-2019,1,1.0
lowi-2018-08,lowi,advies,Advies 2018-08,2021-05-27,2018,https://lowi.nl/advies-2018-08/,,2015-2019,1,0.6824320074027639
lowi-2018-16,lowi,advies,Advies 2018-16,2021-05-27,2018,https://lowi.nl/advies-2018-16/,,2015-2019,8,0.9709636501720662
